Mar,Marvel's Thor: The Dark World,Marvels Thor: The Dark World continues the big-screen adventures of Thor@COMMA@ the Mighty Avenger@COMMA@ as he battles to save Earth and all the Nine Realms from a shadowy enemy that predates the universe itself. In the aftermath of Marvels 'Thor' and 'Marvels The Avengers@COMMA@' Thor fights to restore order across the cosmos...but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand@COMMA@ Thor must embark on his most perilous and personal journey yet@COMMA@ one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.,ADVENTURE,ENGLISH,PG13
Tom,Tom Yum Goong 2,Boss Suchart is the influential owner of a major elephant camp. When he was murdered in his own home ¨C the killer delivered three fatal blows on his body ¨C all evidence points to KHAM (Tony Jaa)@COMMA@ who was present at the crime scene and was seen with the victim the moment before he died. Kham is forced to run as the police launches a pursuit¡­ A sequel of the global smash-hit ¡°Tom Yam Goong¡± (or ¡°The Protector¡±)@COMMA@ TYG2 is an extreme fight movie@COMMA@ an endlessly intense@COMMA@ nerve-racking film full of fists@COMMA@ elbows@COMMA@ kicks and daredevil stunt scenes and amazingly choreographed fighting moves that will pump hot blood through the body of all action fans!,THRILLER,ENGLISH,NC16
Blu,Blue Jasmine,After everything in her life falls to pieces@COMMA@ including her marriage to wealthy businessman Hal (Alec Baldwin)@COMMA@ elegant New York socialite Jasmine (Cate Blanchett) moves into her sister Ginger¡¯s (Sally Hawkins) modest apartment in San Francisco to try to pull herself back together again.,THRILLER,ENGLISH,PG13
End,Ender's Game,In the near future@COMMA@ a hostile alien race called the Formics have attacked Earth. If not for the legendary heroics of International Fleet Commander Mazer Rackham@COMMA@ all would have been lost. In preparation for the next attack@COMMA@ the highly esteemed Colonel Hyrum Graff and the International Military are training only the best young minds to find the future Mazer. Ender Wiggin@COMMA@ a shy but strategically brilliant boy@COMMA@ is recruited to join the elite. Arriving at Battle School@COMMA@ Ender quickly and easily masters increasingly difficult challenges and simulations@COMMA@ distinguishing himself and winning respect amongst his peers. Ender is soon ordained by Graff as the military's next great hope@COMMA@ resulting in his promotion to Command School. Once there@COMMA@ he's trained by Mazer Rackham himself to lead his fellow soldiers into an epic battle that will determine the future of Earth and save the human race.,THRILLER,ENGLISH,PG
Esc,Escape Plan,One of the world's foremost authorities on structural security agrees to take on one last job: breaking out of an ultra-secret@COMMA@ high-tech facility called 'The Tomb.¡± Deceived and wrongly imprisoned@COMMA@ Ray Breslin (Sylvester Stallone) must recruit fellow inmate Emil Rottmayer (Arnold Schwarzenegger) to help devise a daring@COMMA@ nearly impossible plan to escape from the most protected and fortified prison ever built.,ADVENTURE,ENGLISH,NC16
Spe,Special ID,A cop and his team of comrades go undercover in one of most ruthless underworld organization to stop a gang leader@COMMA@ only to put themselves in great danger after being exposed one by one.,THRILLER,MANDARIN,NC16
Abo,About Time,The night after another unsatisfactory New Year party@COMMA@ Tim's father (Bill Nighy) tells his son that the men in his family have always had the ability to travel through time. Tim can't change history@COMMA@ but he can change what happens and has happened in his own life¡ªso he decides to make his world a better place... by getting a girlfriend. Sadly@COMMA@ that turns out not to be as easy as you might think.,ROMANCE,ENGLISH,NC16
Krr,Krrish 3,After defeating the villainous Dr. Siddhant Arya@COMMA@ and bringing his father rohit back from the dead@COMMA@ Krrish continued fighting against evil and saving innocent lives,ADVENTURE,HINDI,PG13
